date,interval_start,steps,activity_level
2025-11-03,13:45,157,generic
2025-11-03,14:00,100,active
2025-11-03,14:15,120,sedentary
2025-11-03,14:30,31,sedentary
2025-11-03,14:45,176,active
2025-11-03,15:00,112,active
2025-11-03,15:15,171,generic
2025-11-03,15:30,102,generic
2025-11-03,15:45,143,sedentary
2025-11-03,16:00,55,sedentary
2025-11-03,16:15,42,generic
2025-11-03,16:30,0,sedentary
2025-11-03,16:45,103,sedentary
2025-11-03,17:00,155,active
2025-11-03,17:15,182,active
2025-11-03,17:30,126,generic
2025-11-03,17:45,139,active
2025-11-03,18:00,164,generic
2025-11-03,18:15,241,active
2025-11-03,18:30,21,sedentary
2025-11-03,18:45,110,sedentary
2025-11-03,19:00,228,active
2025-11-03,19:15,186,active
2025-11-03,19:30,269,active
2025-11-03,19:45,433,active
2025-11-03,20:00,638,active
2025-11-03,20:15,617,active
2025-11-03,20:30,520,active
2025-11-03,20:45,601,active
2025-11-03,21:00,318,active
2025-11-03,21:15,181,sedentary
2025-11-03,21:30,239,active
2025-11-03,21:45,0,sedentary
2025-11-03,22:00,68,sedentary
2025-11-03,22:15,165,sedentary
2025-11-03,22:30,517,active
2025-11-03,22:45,672,active
2025-11-03,23:00,136,generic
2025-11-03,23:15,43,generic
2025-11-03,23:30,355,sedentary
2025-11-03,23:45,206,sedentary
2025-11-03,00:00,272,active
2025-11-03,00:15,78,sedentary
2025-11-03,00:30,93,sedentary
2025-11-03,00:45,35,sedentary
2025-11-03,01:00,21,sedentary
2025-11-03,01:15,21,sedentary
2025-11-03,01:30,0,sedentary
2025-11-03,01:45,0,sedentary
2025-11-03,02:00,27,sedentary
2025-11-03,02:15,134,sedentary
2025-11-03,02:30,36,sedentary
2025-11-03,02:45,25,generic
2025-11-03,03:00,65,active
2025-11-03,03:15,28,sedentary
2025-11-03,03:30,0,sleeping
2025-11-03,03:45,0,sleeping
2025-11-03,04:00,0,sleeping
2025-11-03,04:15,0,sleeping
2025-11-03,04:30,0,sleeping
2025-11-03,04:45,0,sleeping
2025-11-03,05:00,0,sleeping
2025-11-03,05:15,0,sleeping
2025-11-03,05:30,0,sleeping
2025-11-03,05:45,0,sleeping
2025-11-04,06:00,0,sleeping
2025-11-04,06:15,0,sleeping
2025-11-04,06:30,0,sleeping
2025-11-04,06:45,0,sleeping
2025-11-04,07:00,0,sleeping
2025-11-04,07:15,0,sleeping
2025-11-04,07:30,0,sleeping
2025-11-04,07:45,0,sleeping
2025-11-04,08:00,0,sleeping
2025-11-04,08:15,0,sleeping
2025-11-04,08:30,0,sleeping
2025-11-04,08:45,0,sleeping
2025-11-04,09:00,0,sleeping
2025-11-04,09:15,0,sleeping
2025-11-04,09:30,0,sleeping
2025-11-04,09:45,0,sleeping
2025-11-04,10:00,0,sleeping
2025-11-04,10:15,0,sleeping
2025-11-04,10:30,0,sleeping
2025-11-04,10:45,0,sleeping
2025-11-04,11:00,0,sleeping
2025-11-04,11:15,0,sleeping
2025-11-04,11:30,0,sleeping
2025-11-04,11:45,68,sleeping
2025-11-04,12:00,66,sleeping
2025-11-04,12:15,110,sedentary
2025-11-04,12:30,24,sedentary
2025-11-04,12:45,222,active
2025-11-04,13:00,43,generic
2025-11-04,13:15,31,generic
2025-11-04,13:30,220,generic
2025-11-04,13:45,88,generic
2025-11-04,14:00,96,generic
2025-11-04,14:15,122,generic
2025-11-04,14:30,248,active
2025-11-04,14:45,191,active
2025-11-04,15:00,310,active
2025-11-04,15:15,13,sedentary
2025-11-04,15:30,55,sedentary
2025-11-04,15:45,51,sedentary
2025-11-04,16:00,0,sedentary
2025-11-04,16:15,104,sedentary
2025-11-04,16:30,149,active
2025-11-04,16:45,87,sedentary
2025-11-04,17:00,27,sedentary
2025-11-04,17:15,0,sedentary
2025-11-04,17:30,152,sedentary
2025-11-04,17:45,145,active
2025-11-04,18:00,195,active
2025-11-04,18:15,211,active
2025-11-04,18:30,195,active
2025-11-04,18:45,149,active
2025-11-04,19:00,172,active
2025-11-04,19:15,68,sedentary
2025-11-04,19:30,139,active
2025-11-04,19:45,93,sedentary
2025-11-04,20:00,123,sedentary
2025-11-04,20:15,185,active
2025-11-04,20:30,7,sedentary
2025-11-04,20:45,22,sedentary
2025-11-04,21:00,0,sedentary
2025-11-04,21:15,284,active
2025-11-04,21:30,306,active
2025-11-04,21:45,66,sedentary
2025-11-04,22:00,64,sedentary
2025-11-04,22:15,69,sedentary
2025-11-04,22:30,81,sedentary
2025-11-04,22:45,673,sedentary
2025-11-04,23:00,2061,highlyActive
2025-11-04,23:15,1845,highlyActive
2025-11-04,23:30,1558,active
2025-11-04,23:45,149,generic
2025-11-04,00:00,333,highlyActive
2025-11-04,00:15,0,sedentary
2025-11-04,00:30,396,highlyActive
2025-11-04,00:45,168,generic
2025-11-04,01:00,75,sedentary
2025-11-04,01:15,0,sedentary
2025-11-04,01:30,0,sedentary
2025-11-04,01:45,0,sedentary
2025-11-04,02:00,0,sedentary
2025-11-04,02:15,0,sedentary
2025-11-04,02:30,0,sedentary
2025-11-04,02:45,0,sedentary
2025-11-04,03:00,7,sedentary
2025-11-04,03:15,0,sedentary
2025-11-04,03:30,0,sedentary
2025-11-04,03:45,43,sedentary
2025-11-04,04:00,86,sedentary
2025-11-04,04:15,110,sedentary
2025-11-04,04:30,0,sleeping
2025-11-04,04:45,0,sleeping
2025-11-04,05:00,0,sleeping
2025-11-04,05:15,0,sleeping
2025-11-04,05:30,0,sleeping
2025-11-04,05:45,0,sleeping
2025-11-05,06:00,0,sleeping
2025-11-05,06:15,0,sleeping
2025-11-05,06:30,0,sleeping
2025-11-05,06:45,0,sleeping
2025-11-05,07:00,0,sleeping
2025-11-05,07:15,0,sleeping
2025-11-05,07:30,0,sleeping
2025-11-05,07:45,0,sleeping
2025-11-05,08:00,0,sleeping
2025-11-05,08:15,0,sleeping
2025-11-05,08:30,0,sleeping
2025-11-05,08:45,0,sleeping
2025-11-05,09:00,9,sleeping
2025-11-05,09:15,0,sleeping
2025-11-05,09:30,0,sleeping
2025-11-05,09:45,0,sleeping
2025-11-05,10:00,0,sleeping
2025-11-05,10:15,0,sleeping
2025-11-05,10:30,0,sleeping
2025-11-05,10:45,0,sleeping
2025-11-05,11:00,0,sleeping
2025-11-05,11:15,0,sleeping
2025-11-05,11:30,0,sleeping
2025-11-05,11:45,0,sleeping
2025-11-05,12:00,0,sleeping
2025-11-05,12:15,0,sleeping
2025-11-05,12:30,0,sleeping
2025-11-05,12:45,27,sleeping
2025-11-05,13:00,33,sedentary
2025-11-05,13:15,0,sedentary
2025-11-05,13:30,135,sedentary
2025-11-05,13:45,215,active
2025-11-05,14:00,183,sedentary
2025-11-05,14:15,166,sedentary
2025-11-05,14:30,0,sedentary
2025-11-05,14:45,0,sedentary
2025-11-05,15:00,112,sedentary
2025-11-05,15:15,111,sedentary
2025-11-05,15:30,197,sedentary
2025-11-05,15:45,187,sedentary
2025-11-05,16:00,35,sedentary
2025-11-05,16:15,201,sedentary
2025-11-05,16:30,168,sedentary
2025-11-05,16:45,140,sedentary
2025-11-05,17:00,109,sedentary
2025-11-05,17:15,50,sedentary
2025-11-05,17:30,9,sedentary
2025-11-05,17:45,0,sedentary
2025-11-05,18:00,83,active
2025-11-05,18:15,190,active
2025-11-05,18:30,128,sedentary
2025-11-05,18:45,65,sedentary
2025-11-05,19:00,54,sedentary
2025-11-05,19:15,12,sedentary
2025-11-05,19:30,36,sedentary
2025-11-05,19:45,175,active
2025-11-05,20:00,182,generic
2025-11-05,20:15,110,sedentary
2025-11-05,20:30,0,sedentary
2025-11-05,20:45,150,active
2025-11-05,21:00,146,active
2025-11-05,21:15,187,active
2025-11-05,21:30,125,sedentary
2025-11-05,21:45,217,active
2025-11-05,22:00,161,active
2025-11-05,22:15,325,active
2025-11-05,22:30,190,active
2025-11-05,22:45,94,active
2025-11-05,23:00,196,generic
2025-11-05,23:15,53,generic
2025-11-05,23:30,228,generic
2025-11-05,23:45,0,generic
2025-11-05,00:00,269,active
2025-11-05,00:15,183,active
2025-11-05,00:30,179,active
2025-11-05,00:45,35,sedentary
2025-11-05,01:00,283,active
2025-11-05,01:15,250,sedentary
2025-11-05,01:30,0,sleeping
2025-11-05,01:45,0,sleeping
2025-11-05,02:00,0,sleeping
2025-11-05,02:15,0,sleeping
2025-11-05,02:30,0,sleeping
2025-11-05,02:45,0,sleeping
2025-11-05,03:00,0,sleeping
2025-11-05,03:15,0,sleeping
2025-11-05,03:30,0,sleeping
2025-11-05,03:45,17,sleeping
2025-11-05,04:00,0,sleeping
2025-11-05,04:15,0,sleeping
2025-11-05,04:30,0,sleeping
2025-11-05,04:45,0,sleeping
2025-11-05,05:00,0,sleeping
2025-11-05,05:15,0,sleeping
2025-11-05,05:30,0,sleeping
2025-11-05,05:45,0,sleeping
2025-11-06,06:00,0,sleeping
2025-11-06,06:15,0,sleeping
2025-11-06,06:30,0,sleeping
2025-11-06,06:45,0,sleeping
2025-11-06,07:00,0,sleeping
2025-11-06,07:15,0,sleeping
2025-11-06,07:30,0,sleeping
2025-11-06,07:45,0,sleeping
2025-11-06,08:00,0,sleeping
2025-11-06,08:15,8,sleeping
2025-11-06,08:30,0,sleeping
2025-11-06,08:45,0,sleeping
2025-11-06,09:00,0,sleeping
2025-11-06,09:15,0,sleeping
2025-11-06,09:30,0,sleeping
2025-11-06,09:45,0,sleeping
2025-11-06,10:00,21,sleeping
2025-11-06,10:15,0,sleeping
2025-11-06,10:30,0,sleeping
2025-11-06,10:45,0,sleeping
2025-11-06,11:00,0,sleeping
2025-11-06,11:15,0,sleeping
2025-11-06,11:30,19,sleeping
2025-11-06,11:45,0,sleeping
2025-11-06,12:00,0,sleeping
2025-11-06,12:15,0,sleeping
2025-11-06,12:30,88,sleeping
2025-11-06,12:45,243,active
2025-11-06,13:00,0,generic
2025-11-06,13:15,17,generic
2025-11-06,13:30,52,generic
2025-11-06,13:45,164,generic
2025-11-06,14:00,276,active
2025-11-06,14:15,132,sedentary
2025-11-06,14:30,84,sedentary
2025-11-06,14:45,306,active
2025-11-06,15:00,235,sedentary
2025-11-06,15:15,122,sedentary
2025-11-06,15:30,125,active
2025-11-06,15:45,86,sedentary
2025-11-06,16:00,0,sedentary
2025-11-06,16:15,56,sedentary
2025-11-06,16:30,78,sedentary
2025-11-06,16:45,156,sedentary
2025-11-06,17:00,22,sedentary
2025-11-06,17:15,0,sedentary
2025-11-06,17:30,0,sedentary
2025-11-06,17:45,0,sedentary
2025-11-06,18:00,64,sedentary
2025-11-06,18:15,318,active
2025-11-06,18:30,17,sedentary
2025-11-06,18:45,21,sedentary
2025-11-06,19:00,74,sedentary
2025-11-06,19:15,0,sedentary
2025-11-06,19:30,0,sedentary
2025-11-06,19:45,0,sedentary
2025-11-06,20:00,37,sedentary
2025-11-06,20:15,157,active
2025-11-06,20:30,136,generic
2025-11-06,20:45,90,highlyActive
2025-11-06,21:00,136,sedentary
2025-11-06,21:15,50,sedentary
2025-11-06,21:30,13,sedentary
2025-11-06,21:45,15,sedentary
2025-11-06,22:00,131,sedentary
2025-11-06,22:15,131,sedentary
2025-11-06,22:30,241,sedentary
2025-11-06,22:45,177,active
2025-11-06,23:00,13,sedentary
2025-11-06,23:15,24,sedentary
2025-11-06,23:30,59,sedentary
2025-11-06,23:45,0,sedentary
2025-11-06,00:00,0,sedentary
2025-11-06,00:15,73,sedentary
2025-11-06,00:30,18,sedentary
2025-11-06,00:45,22,sedentary
2025-11-06,01:00,360,sedentary
2025-11-06,01:15,802,highlyActive
2025-11-06,01:30,11,generic
2025-11-06,01:45,0,generic
2025-11-06,02:00,0,generic
2025-11-06,02:15,46,sedentary
2025-11-06,02:30,26,sleeping
2025-11-06,02:45,0,sleeping
2025-11-06,03:00,0,sleeping
2025-11-06,03:15,0,sleeping
2025-11-06,03:30,0,sleeping
2025-11-06,03:45,0,sleeping
2025-11-06,04:00,0,sleeping
2025-11-06,04:15,0,sleeping
2025-11-06,04:30,0,sleeping
2025-11-06,04:45,0,sleeping
2025-11-06,05:00,0,sleeping
2025-11-06,05:15,0,sleeping
2025-11-06,05:30,0,sleeping
2025-11-06,05:45,0,sleeping
2025-11-07,06:00,0,sleeping
2025-11-07,06:15,0,sleeping
2025-11-07,06:30,0,sleeping
2025-11-07,06:45,0,sleeping
2025-11-07,07:00,0,sleeping
2025-11-07,07:15,0,sleeping
2025-11-07,07:30,0,sleeping
2025-11-07,07:45,0,sleeping
2025-11-07,08:00,0,sleeping
2025-11-07,08:15,0,sleeping
2025-11-07,08:30,0,sleeping
2025-11-07,08:45,0,sleeping
2025-11-07,09:00,13,sleeping
2025-11-07,09:15,9,sleeping
2025-11-07,09:30,0,sleeping
2025-11-07,09:45,0,sleeping
2025-11-07,10:00,0,sleeping
2025-11-07,10:15,0,sleeping
2025-11-07,10:30,23,sleeping
2025-11-07,10:45,15,sleeping
2025-11-07,11:00,0,sleeping
2025-11-07,11:15,0,sleeping
2025-11-07,11:30,0,sleeping
2025-11-07,11:45,0,sleeping
2025-11-07,12:00,0,sleeping
2025-11-07,12:15,24,sleeping
2025-11-07,12:30,129,sedentary
2025-11-07,12:45,0,sedentary
2025-11-07,13:00,46,sedentary
2025-11-07,13:15,74,sedentary
2025-11-07,13:30,125,sedentary
2025-11-07,13:45,40,sedentary
2025-11-07,14:00,97,sedentary
2025-11-07,14:15,181,sedentary
2025-11-07,14:30,0,sedentary
2025-11-07,14:45,39,sedentary
2025-11-07,15:00,152,active
2025-11-07,15:15,28,sedentary
2025-11-07,15:30,124,sedentary
2025-11-07,15:45,336,active
2025-11-07,16:00,304,active
2025-11-07,16:15,273,sedentary
2025-11-07,16:30,68,sedentary
2025-11-07,16:45,18,sedentary
2025-11-07,17:00,0,sedentary
2025-11-07,17:15,13,sedentary
2025-11-07,17:30,24,sedentary
2025-11-07,17:45,211,active
2025-11-07,18:00,11,sedentary
2025-11-07,18:15,44,sedentary
2025-11-07,18:30,103,sedentary
2025-11-07,18:45,152,sedentary
2025-11-07,19:00,109,sedentary
2025-11-07,19:15,21,sedentary
2025-11-07,19:30,51,sedentary
2025-11-07,19:45,215,active
2025-11-07,20:00,10,sedentary
2025-11-07,20:15,0,sedentary
2025-11-07,20:30,0,sedentary
2025-11-07,20:45,74,sedentary
2025-11-07,21:00,93,sedentary
2025-11-07,21:15,52,sedentary
2025-11-07,21:30,0,sedentary
2025-11-07,21:45,167,sedentary
2025-11-07,22:00,140,active
2025-11-07,22:15,135,active
2025-11-07,22:30,152,active
2025-11-07,22:45,86,active
2025-11-07,23:00,176,active
2025-11-07,23:15,98,active
2025-11-07,23:30,164,active
2025-11-07,23:45,207,active
2025-11-07,00:00,144,sedentary
2025-11-07,00:15,6,sedentary
2025-11-07,00:30,30,sedentary
2025-11-07,00:45,61,sedentary
2025-11-07,01:00,15,sedentary
2025-11-07,01:15,0,sedentary
2025-11-07,01:30,0,sedentary
2025-11-07,01:45,76,sedentary
2025-11-07,02:00,399,active
2025-11-07,02:15,0,sedentary
2025-11-07,02:30,24,sedentary
2025-11-07,02:45,51,sedentary
2025-11-07,03:00,100,sedentary
2025-11-07,03:15,40,sedentary
2025-11-07,03:30,135,sedentary
2025-11-07,03:45,96,sedentary
2025-11-07,04:00,126,sedentary
2025-11-07,04:15,0,sedentary
2025-11-07,04:30,0,sleeping
2025-11-07,04:45,0,sleeping
2025-11-07,05:00,0,sleeping
2025-11-07,05:15,0,sleeping
2025-11-07,05:30,0,sleeping
2025-11-07,05:45,0,sleeping
2025-11-08,06:00,0,sleeping
2025-11-08,06:15,0,sleeping
2025-11-08,06:30,0,sleeping
2025-11-08,06:45,0,sleeping
2025-11-08,07:00,0,sleeping
2025-11-08,07:15,0,sleeping
2025-11-08,07:30,0,sleeping
2025-11-08,07:45,0,sleeping
2025-11-08,08:00,0,sleeping
2025-11-08,08:15,0,sleeping
2025-11-08,08:30,0,sleeping
2025-11-08,08:45,0,sleeping
2025-11-08,09:00,0,sleeping
2025-11-08,09:15,16,sleeping
2025-11-08,09:30,0,sleeping
2025-11-08,09:45,0,sleeping
2025-11-08,10:00,0,sleeping
2025-11-08,10:15,0,sleeping
2025-11-08,10:30,0,sleeping
2025-11-08,10:45,0,sleeping
2025-11-08,11:00,0,sleeping
2025-11-08,11:15,0,sleeping
2025-11-08,11:30,0,sleeping
2025-11-08,11:45,0,sleeping
2025-11-08,12:00,13,sleeping
2025-11-08,12:15,52,sedentary
2025-11-08,12:30,29,sedentary
2025-11-08,12:45,54,active
2025-11-08,13:00,154,sedentary
2025-11-08,13:15,11,generic
2025-11-08,13:30,173,active
2025-11-08,13:45,232,active
2025-11-08,14:00,322,active
2025-11-08,14:15,325,active
2025-11-08,14:30,60,sedentary
2025-11-08,14:45,80,sedentary
2025-11-08,15:00,48,sedentary
2025-11-08,15:15,59,sedentary
2025-11-08,15:30,42,sedentary
2025-11-08,15:45,0,sedentary
2025-11-08,16:00,0,sedentary
2025-11-08,16:15,0,sedentary
2025-11-08,16:30,269,sedentary
2025-11-08,16:45,126,sedentary
2025-11-08,17:00,27,sedentary
2025-11-08,17:15,0,sedentary
2025-11-08,17:30,161,sedentary
2025-11-08,17:45,444,active
2025-11-08,18:00,247,sedentary
2025-11-08,18:15,184,sedentary
2025-11-08,18:30,0,sedentary
2025-11-08,18:45,20,sedentary
2025-11-08,19:00,9,sedentary
2025-11-08,19:15,84,sedentary
2025-11-08,19:30,109,sedentary
2025-11-08,19:45,136,active
2025-11-08,20:00,68,sedentary
2025-11-08,20:15,73,sedentary
2025-11-08,20:30,233,active
2025-11-08,20:45,587,active
2025-11-08,21:00,282,active
2025-11-08,21:15,623,active
2025-11-08,21:30,55,sedentary
2025-11-08,21:45,101,sedentary
2025-11-08,22:00,9,sedentary
2025-11-08,22:15,69,sedentary
2025-11-08,22:30,66,sedentary
2025-11-08,22:45,138,sedentary
2025-11-08,23:00,7,sedentary
2025-11-08,23:15,365,active
2025-11-08,23:30,357,active
2025-11-08,23:45,318,active
2025-11-08,00:00,178,sedentary
2025-11-08,00:15,14,sedentary
2025-11-08,00:30,0,sedentary
2025-11-08,00:45,0,sedentary
2025-11-08,01:00,0,sedentary
2025-11-08,01:15,99,sedentary
2025-11-08,01:30,9,sedentary
2025-11-08,01:45,0,sedentary
2025-11-08,02:00,26,sedentary
2025-11-08,02:15,37,sedentary
2025-11-08,02:30,0,sleeping
2025-11-08,02:45,0,sleeping
2025-11-08,03:00,0,sleeping
2025-11-08,03:15,0,sleeping
2025-11-08,03:30,0,sleeping
2025-11-08,03:45,0,sleeping
2025-11-08,04:00,0,sleeping
2025-11-08,04:15,0,sleeping
2025-11-08,04:30,0,sleeping
2025-11-08,04:45,0,sleeping
2025-11-08,05:00,0,sleeping
2025-11-08,05:15,0,sleeping
2025-11-08,05:30,0,sleeping
2025-11-08,05:45,0,sleeping
2025-11-09,06:00,0,sleeping
2025-11-09,06:15,0,sleeping
2025-11-09,06:30,0,sleeping
2025-11-09,06:45,0,sleeping
2025-11-09,07:00,0,sleeping
2025-11-09,07:15,0,sleeping
2025-11-09,07:30,0,sleeping
2025-11-09,07:45,0,sleeping
2025-11-09,08:00,0,sleeping
2025-11-09,08:15,0,sleeping
2025-11-09,08:30,0,sleeping
2025-11-09,08:45,0,sleeping
2025-11-09,09:00,0,sleeping
2025-11-09,09:15,0,sleeping
2025-11-09,09:30,0,sleeping
2025-11-09,09:45,0,sleeping
2025-11-09,10:00,0,sleeping
2025-11-09,10:15,0,sleeping
2025-11-09,10:30,0,sleeping
2025-11-09,10:45,0,sleeping
2025-11-09,11:00,0,sleeping
2025-11-09,11:15,0,sleeping
2025-11-09,11:30,0,sleeping
2025-11-09,11:45,0,sleeping
2025-11-09,12:00,24,sleeping
2025-11-09,12:15,0,sleeping
2025-11-09,12:30,0,sleeping
2025-11-09,12:45,42,sleeping
2025-11-09,13:00,0,sedentary
2025-11-09,13:15,0,sedentary
2025-11-09,13:30,0,sedentary
2025-11-09,13:45,0,sedentary
2025-11-09,14:00,26,sedentary
